Country,Admin 1,Admin 2,Market Name,Commodity,Price Type,Price Date,Collection Frequency,Price,Unit,Currency,Data Source,Trend,Pewi,ALPS Phase,Data Type,Upper (95%) CI,Lower (95%) CI,Forecast Methodology
Kenya,Coast,Tana River,Adele Center,Beans,Retail,15-09-24,Monthly,160,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Coast,Tana River,Adele Center,Maize flour (white),Retail,15-09-24,Monthly,70,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Garissa,Alango Arba,Beans,Retail,15-03-24,Monthly,200,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Garissa,Alango Arba,Beans,Retail,15-06-24,Monthly,200,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Garissa,Alango Arba,Beans,Retail,15-09-24,Monthly,190,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Garissa,Alango Arba,Maize flour (white),Retail,15-03-24,Monthly,120,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Garissa,Alango Arba,Maize flour (white),Retail,15-09-24,Monthly,92,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Garissa,Alango Arba,Maize flour (white),Retail,15-12-24,Monthly,113.5,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Garissa,Alango Arba,"Oil (vegetable, fortified)",Retail,15-03-24,Monthly,280,L,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Garissa,Alango Arba,"Oil (vegetable, fortified)",Retail,15-09-24,Monthly,225,L,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Garissa,Alango Arba,"Oil (vegetable, fortified)",Retail,15-12-24,Monthly,283,L,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Turkana,Alemsekon,Beans,Retail,15-12-23,Monthly,155,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Turkana,Alemsekon,Beans,Retail,15-03-24,Monthly,203,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Turkana,Alemsekon,Beans,Retail,15-06-24,Monthly,188,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Turkana,Alemsekon,Beans,Retail,15-09-24,Monthly,164,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Turkana,Alemsekon,"Maize (white, dry)",Retail,15-12-23,Monthly,110,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Turkana,Alemsekon,"Maize (white, dry)",Retail,15-03-24,Monthly,60,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Turkana,Alemsekon,"Maize (white, dry)",Retail,15-06-24,Monthly,86,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Turkana,Alemsekon,"Maize (white, dry)",Retail,15-09-24,Monthly,92,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Turkana,Alemsekon,Maize flour (white),Retail,15-12-23,Monthly,90,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Turkana,Alemsekon,Maize flour (white),Retail,15-03-24,Monthly,100,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Turkana,Alemsekon,Maize flour (white),Retail,15-06-24,Monthly,96,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Turkana,Alemsekon,Maize flour (white),Retail,15-09-24,Monthly,100,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Turkana,Alemsekon,"Oil (vegetable, fortified)",Retail,15-12-23,Monthly,300,L,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Turkana,Alemsekon,"Oil (vegetable, fortified)",Retail,15-03-24,Monthly,283,L,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Turkana,Alemsekon,"Oil (vegetable, fortified)",Retail,15-06-24,Monthly,278,L,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Turkana,Alemsekon,"Oil (vegetable, fortified)",Retail,15-09-24,Monthly,268,L,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Garissa,Alinjugur,Beans,Retail,15-03-24,Monthly,194,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Garissa,Alinjugur,Beans,Retail,15-06-24,Monthly,192,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Garissa,Alinjugur,Beans,Retail,15-09-24,Monthly,196,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Garissa,Alinjugur,Kale,Retail,15-03-24,Monthly,200,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Garissa,Alinjugur,"Maize (white, dry)",Retail,15-03-24,Monthly,120,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Garissa,Alinjugur,"Maize (white, dry)",Retail,15-06-24,Monthly,125,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Garissa,Alinjugur,Maize flour (white),Retail,15-03-24,Monthly,170,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Garissa,Alinjugur,Maize flour (white),Retail,15-06-24,Monthly,113,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Garissa,Alinjugur,Maize flour (white),Retail,15-09-24,Monthly,103.5,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Garissa,Alinjugur,Maize flour (white),Retail,15-12-24,Monthly,113,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Garissa,Alinjugur,"Oil (vegetable, fortified)",Retail,15-03-24,Monthly,320,L,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Garissa,Alinjugur,"Oil (vegetable, fortified)",Retail,15-06-24,Monthly,225,L,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
