admin_1,admin_2,market_name,commodity,price_type,price_date,price,unit,year_month
Coast,Tana River,Adele Center,Beans,Retail,2024-09-15,160.0,KG,2024-09
Coast,Tana River,Adele Center,Maize flour (white),Retail,2024-09-15,70.0,KG,2024-09
North Eastern,Garissa,Alango Arba,Beans,Retail,2024-03-15,200.0,KG,2024-03
North Eastern,Garissa,Alango Arba,Beans,Retail,2024-06-15,200.0,KG,2024-06
North Eastern,Garissa,Alango Arba,Beans,Retail,2024-09-15,190.0,KG,2024-09
North Eastern,Garissa,Alango Arba,Maize flour (white),Retail,2024-03-15,120.0,KG,2024-03
North Eastern,Garissa,Alango Arba,Maize flour (white),Retail,2024-09-15,92.0,KG,2024-09
North Eastern,Garissa,Alango Arba,Maize flour (white),Retail,2024-12-15,113.5,KG,2024-12
North Eastern,Garissa,Alango Arba,"Oil (vegetable, fortified)",Retail,2024-03-15,280.0,L,2024-03
North Eastern,Garissa,Alango Arba,"Oil (vegetable, fortified)",Retail,2024-09-15,225.0,L,2024-09
North Eastern,Garissa,Alango Arba,"Oil (vegetable, fortified)",Retail,2024-12-15,283.0,L,2024-12
Rift Valley,Turkana,Alemsekon,Beans,Retail,2023-12-15,155.0,KG,2023-12
Rift Valley,Turkana,Alemsekon,Beans,Retail,2024-03-15,203.0,KG,2024-03
Rift Valley,Turkana,Alemsekon,Beans,Retail,2024-06-15,188.0,KG,2024-06
Rift Valley,Turkana,Alemsekon,Beans,Retail,2024-09-15,164.0,KG,2024-09
Rift Valley,Turkana,Alemsekon,"Maize (white, dry)",Retail,2023-12-15,110.0,KG,2023-12
Rift Valley,Turkana,Alemsekon,"Maize (white, dry)",Retail,2024-03-15,60.0,KG,2024-03
Rift Valley,Turkana,Alemsekon,"Maize (white, dry)",Retail,2024-06-15,86.0,KG,2024-06
Rift Valley,Turkana,Alemsekon,"Maize (white, dry)",Retail,2024-09-15,92.0,KG,2024-09
Rift Valley,Turkana,Alemsekon,Maize flour (white),Retail,2023-12-15,90.0,KG,2023-12
Rift Valley,Turkana,Alemsekon,Maize flour (white),Retail,2024-03-15,100.0,KG,2024-03
Rift Valley,Turkana,Alemsekon,Maize flour (white),Retail,2024-06-15,96.0,KG,2024-06
Rift Valley,Turkana,Alemsekon,Maize flour (white),Retail,2024-09-15,100.0,KG,2024-09
Rift Valley,Turkana,Alemsekon,"Oil (vegetable, fortified)",Retail,2023-12-15,300.0,L,2023-12
Rift Valley,Turkana,Alemsekon,"Oil (vegetable, fortified)",Retail,2024-03-15,283.0,L,2024-03
Rift Valley,Turkana,Alemsekon,"Oil (vegetable, fortified)",Retail,2024-06-15,278.0,L,2024-06
Rift Valley,Turkana,Alemsekon,"Oil (vegetable, fortified)",Retail,2024-09-15,268.0,L,2024-09
North Eastern,Garissa,Alinjugur,Beans,Retail,2024-03-15,194.0,KG,2024-03
North Eastern,Garissa,Alinjugur,Beans,Retail,2024-06-15,192.0,KG,2024-06
North Eastern,Garissa,Alinjugur,Beans,Retail,2024-09-15,196.0,KG,2024-09
North Eastern,Garissa,Alinjugur,Kale,Retail,2024-03-15,200.0,KG,2024-03
North Eastern,Garissa,Alinjugur,"Maize (white, dry)",Retail,2024-03-15,120.0,KG,2024-03
North Eastern,Garissa,Alinjugur,"Maize (white, dry)",Retail,2024-06-15,125.0,KG,2024-06
North Eastern,Garissa,Alinjugur,Maize flour (white),Retail,2024-03-15,170.0,KG,2024-03
North Eastern,Garissa,Alinjugur,Maize flour (white),Retail,2024-06-15,113.0,KG,2024-06
North Eastern,Garissa,Alinjugur,Maize flour (white),Retail,2024-09-15,103.5,KG,2024-09
North Eastern,Garissa,Alinjugur,Maize flour (white),Retail,2024-12-15,113.0,KG,2024-12
North Eastern,Garissa,Alinjugur,"Oil (vegetable, fortified)",Retail,2024-03-15,320.0,L,2024-03
North Eastern,Garissa,Alinjugur,"Oil (vegetable, fortified)",Retail,2024-06-15,225.0,L,2024-06
North Eastern,Garissa,Alinjugur,"Oil (vegetable, fortified)",Retail,2024-09-15,350.0,L,2024-09
North Eastern,Garissa,Alinjugur,"Oil (vegetable, fortified)",Retail,2024-12-15,322.0,L,2024-12
North Eastern,Mandera,Alungu,Beans,Retail,2024-09-15,213.0,KG,2024-09
North Eastern,Mandera,Alungu,"Maize (white, dry)",Retail,2024-09-15,80.0,KG,2024-09
North Eastern,Mandera,Alungu,Maize flour (white),Retail,2024-09-15,120.0,KG,2024-09
North Eastern,Mandera,Alungu,"Oil (vegetable, fortified)",Retail,2024-09-15,230.0,L,2024-09
Rift Valley,Baringo,Amaya,Beans,Retail,2024-03-15,153.0,KG,2024-03
Rift Valley,Baringo,Amaya,Kale,Retail,2024-03-15,60.0,KG,2024-03
Rift Valley,Baringo,Amaya,"Maize (white, dry)",Retail,2024-03-15,85.0,KG,2024-03
Rift Valley,Baringo,Amaya,Maize flour (white),Retail,2024-03-15,80.0,KG,2024-03
Rift Valley,Baringo,Amaya,"Oil (vegetable, fortified)",Retail,2024-03-15,310.0,L,2024-03
Rift Valley,Turkana,Aposta,Beans,Retail,2023-12-15,167.0,KG,2023-12
Rift Valley,Turkana,Aposta,Beans,Retail,2024-03-15,138.0,KG,2024-03
Rift Valley,Turkana,Aposta,Beans,Retail,2024-06-15,178.0,KG,2024-06
Rift Valley,Turkana,Aposta,Beans,Retail,2024-09-15,140.0,KG,2024-09
Rift Valley,Turkana,Aposta,"Maize (white, dry)",Retail,2023-12-15,100.0,KG,2023-12
Rift Valley,Turkana,Aposta,"Maize (white, dry)",Retail,2024-03-15,83.0,KG,2024-03
